WikidataITEM,CountryIsoCode,countryLabel,WikidataLabel,Continent,FormerColony,hdi,mobilityScore,loc,lat,long
http://www.wikidata.org/entity/Q16,CAN,Canada,Canada,North_America,,929.0,110.0,Canada,61.0666922,-107.991707
http://www.wikidata.org/entity/Q697,NRU,Nauru,Nauru,Oceania,,,68.0,Naoero,-0.5252306,166.9324426
http://www.wikidata.org/entity/Q804,PAN,Panama,Panama,Latin_America_and_Caribbean,True,815.0,82.0,Panamá,8.559559,-81.1308434
http://www.wikidata.org/entity/Q970,COM,Comoros,Comoros,Africa,True,554.0,48.0,Comores Komori جزر القمر,-12.2045176,44.2832964
http://www.wikidata.org/entity/Q41,GRC,Greece,Greece,Europe,,888.0,133.0,Ελλάς,38.9953683,21.9877132
http://www.wikidata.org/entity/Q258,ZAF,South Africa,South Africa,Africa,True,709.0,83.0,South Africa,-28.8166236,24.991639
,,Réunion,,,,,,"La Réunion, France",-21.130737949999997,55.536480112992315
http://www.wikidata.org/entity/Q242,BLZ,Belize,Belize,Latin_America_and_Caribbean,True,716.0,77.0,Belize,16.8259793,-88.7600927
http://www.wikidata.org/entity/Q983,GNQ,Equatorial Guinea,Equatorial Guinea,Africa,True,592.0,50.0,Guinea Ecuatorial,1.613172,10.5170357
http://www.wikidata.org/entity/Q252,IDN,Indonesia,Indonesia,Asia,True,718.0,65.0,Indonesia,-2.4833826,117.8902853
http://www.wikidata.org/entity/Q1050,SWZ,Eswatini,Eswatini,Africa,True,611.0,62.0,eSwatini,-26.5624806,31.3991317
http://www.wikidata.org/entity/Q218,ROU,Romania,Romania,Europe,,828.0,127.0,România,45.9852129,24.6859225
http://www.wikidata.org/entity/Q214,SVK,Slovakia,Slovakia,Europe,,0.86,131.0,Slovensko,48.7411522,19.4528646
http://www.wikidata.org/entity/Q678,TON,Tonga,Tonga,Oceania,,725.0,77.0,Tonga,-19.9160819,-175.202642
http://www.wikidata.org/entity/Q29,ESP,Spain,Spain,Europe,,904.0,135.0,España,39.3260685,-4.8379791
http://www.wikidata.org/entity/Q769,GRD,Grenada,Grenada,Latin_America_and_Caribbean,True,779.0,82.0,Grenada,12.1360374,-61.6904045
,,Montserrat,,,,,,Montserrat,16.7417041,-62.1916844
http://www.wikidata.org/entity/Q1036,UGA,Uganda,Uganda,Africa,True,544.0,58.0,Uganda,1.5333554,32.2166578
http://www.wikidata.org/entity/Q760,LCA,Saint Lucia,Saint Lucia,Latin_America_and_Caribbean,True,759.0,84.0,Saint Lucia,13.8250489,-60.975036
http://www.wikidata.org/entity/Q954,ZWE,Zimbabwe,Zimbabwe,Africa,True,571.0,58.0,Zimbabwe,-18.4554963,29.7468414
,,Svalbard and Jan Mayen,,,,,,"Svalbard og Jan Mayen, 9170, Norge",78.51240265,16.605574070831505
,,Dronning Maud Land,,,,,,Dronning Maud Land,-72.5028409,12.5
http://www.wikidata.org/entity/Q1033,NGA,Nigeria,Nigeria,Africa,True,539.0,44.0,Nigeria,9.6000359,7.9999721
http://www.wikidata.org/entity/Q39,CHE,Switzerland,Switzerland,Europe,,955.0,135.0,Schweiz/Suisse/Svizzera/Svizra,46.7985624,8.2319736
,,Johnston Island,,,,,,"Johnston Island, United States",16.72889585,-169.53386420606287
http://www.wikidata.org/entity/Q117,GHA,Ghana,Ghana,Africa,True,611.0,59.0,Ghana,8.0300284,-1.0800271
http://www.wikidata.org/entity/Q962,BEN,Benin,Benin,Africa,True,545.0,53.0,Bénin,9.5293472,2.2584408
,,Guadeloupe,,,,,,"Guadeloupe, France",16.2528827,-61.5686855
http://www.wikidata.org/entity/Q842,OMN,Oman,Oman,Asia,True,813.0,69.0,عمان,21.0000287,57.0036901
http://www.wikidata.org/entity/Q347,LIE,Liechtenstein,Liechtenstein,Europe,,919.0,128.0,Liechtenstein,47.1416307,9.5531527
http://www.wikidata.org/entity/Q184,BLR,Belarus,Belarus,Europe,,823.0,71.0,Беларусь,53.4250605,27.6971358
http://www.wikidata.org/entity/Q31,BEL,Belgium,Belgium,Europe,,931.0,134.0,België / Belgique / Belgien,50.6402809,4.6667145
,,Panama Canal Zone,,,,,,"Canal Zone, Avenida B, Barrio Chino, Santa Ana, San Felipe, Distrito Panamá, Panamá, 0823, Panamá",8.9536841,-79.5376179437931
http://www.wikidata.org/entity/Q414,ARG,Argentina,Argentina,Latin_America_and_Caribbean,True,845.0,98.0,Argentina,-34.9964963,-64.9672817
http://www.wikidata.org/entity/Q754,TTO,Trinidad and Tobago,Trinidad and Tobago,Latin_America_and_Caribbean,True,796.0,87.0,Trinidad and Tobago,10.7466905,-61.0840075
http://www.wikidata.org/entity/Q408,AUS,Australia,Australia,Oceania,,944.0,127.0,Australia,-24.7761086,134.755
http://www.wikidata.org/entity/Q228,AND,Andorra,Andorra,Europe,,868.0,115.0,Andorra,42.5407167,1.5732033
,,Guernsey,,,,,,Guernsey,49.4566233,-2.5822348
http://www.wikidata.org/entity/Q28,HUN,Hungary,Hungary,Europe,,854.0,133.0,Magyarország,47.1817585,19.5060937
